Series Code,Country Code,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013
SP.POP.TOTL,GUY,756939,760834,765367,770407,775739,781055,786126,790882,795369,799613
SP.POP.TOTL,HTI,9129933,9260879,9388642,9513714,9638255,9765153,9896400,10032864,10173775,10317461
SP.POP.TOTL,HND,6762426,6898825,7037428,7178436,7322368,7469844,7621204,7776669,7935846,8097688
SP.POP.TOTL,HKG,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7154600,7187500
SP.POP.TOTL,HUN,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9897247
SP.POP.TOTL,ISL,292074,296734,303782,311566,317414,318499,318041,319014,320716,323002
SP.POP.TOTL,IND,1110626108,1127143548,1143289350,1159095250,1174662334,1190138069,1205624648,1221156319,1236686732,1252139596
SP.POP.TOTL,IDN,221293797,224480901,227709821,230972808,234243489,237486894,240676485,243801639,246864191,249865631
SP.POP.TOTL,IRN,69342126,70152384,70976584,71809219,72660887,73542954,74462314,75424285,76424443,77447168
SP.POP.TOTL,IRQ,26673536,27377045,28064095,28740630,29429829,30163199,30962380,31760020,32578209,33417476
SP.POP.TOTL,IRL,4070262,4159914,4274137,4398942,4489544,4535375,4560155,4576794,4586897,4595281
SP.POP.TOTL,IMY,79658,80345,81068,81812,82561,83293,83992,84654,85284,85888
SP.POP.TOTL,ISR,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059400
SP.POP.TOTL,ITA,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,59831093
SP.POP.TOTL,JAM,2634145,2643601,2653042,2662481,2671934,2681386,2690824,2699838,2707805,2715000
SP.POP.TOTL,JPN,127761000,127773000,127756000,127770750,127704040,127557958,127450459,127817277,127561489,127338621
SP.POP.TOTL,JOR,5290000,5411000,5536000,5661000,5786000,5915000,6046000,6181000,6318000,6459000
SP.POP.TOTL,KAZ,15012985,15147029,15308084,15484192,15674000,16092701,16321581,16556600,16791425,17037508
SP.POP.TOTL,KEN,34834606,35785718,36757498,37752304,38773277,39824734,40909194,42027891,43178141,44353691
SP.POP.TOTL,KIR,88936,90468,91953,93401,94832,96272,97743,99250,100786,102351
SP.POP.TOTL,PRK,23639303,23813333,23969917,24111989,24243894,24371865,24500520,24631291,24763188,24895480
SP.POP.TOTL,KOR,48039415,48138077,48371946,48597652,48948698,49182038,49410366,49779440,50004441,50219669
SP.POP.TOTL,KSV,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1790957,1807106,1824000
SP.POP.TOTL,KWT,2196466,2296314,2417445,2554920,2702221,2850102,2991580,3124705,3250496,3368572
SP.POP.TOTL,KGZ,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719500
SP.POP.TOTL,LAO,5699112,5790646,5895930,6013278,6139127,6267968,6395713,6521314,6645827,6769727
SP.POP.TOTL,LVA,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2013385
SP.POP.TOTL,LBN,3853582,3986865,4079823,4139813,4186088,4246924,4341092,4382790,4424888,4467390
SP.POP.TOTL,LSO,1912022,1925844,1940413,1955784,1972199,1989873,2008921,2029516,2051545,2074465
SP.POP.TOTL,LBR,3184643,3269786,3384791,3522294,3672714,3821440,3957990,4079697,4190435,4294077
SP.POP.TOTL,LBY,5507000,5594450,5686475,5782108,5876805,5964325,6040612,6103233,6154623,6201521
SP.POP.TOTL,LIE,34445,34740,35028,35308,35582,35851,36120,36388,36656,36925
SP.POP.TOTL,LTU,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2956121
SP.POP.TOTL,LUX,458095,465158,472637,479993,488650,497783,506953,518347,530946,543202
SP.POP.TOTL,MAC,458542,468149,479808,493206,507528,521617,534626,546278,556783,566375
SP.POP.TOTL,MKD,2085728,2090044,2093801,2096620,2098769,2100558,2102216,2103890,2105575,2107158
SP.POP.TOTL,MDG,17763367,18290394,18826126,19371023,19926785,20495695,21079532,21678934,22293914,22924851
SP.POP.TOTL,MWI,12569091,12924746,13307535,13713758,14138207,14573338,15013694,15457531,15906483,16362567
SP.POP.TOTL,MYS,25365089,25843466,26327098,26813819,27302348,27790324,28275835,28758968,29239927,29716965
SP.POP.TOTL,MDV,292505,297576,302825,308239,313843,319660,325694,331964,338442,345023
SP.POP.TOTL,MLI,11572936,11941258,12325545,12725629,13138299,13559296,13985961,14416737,14853572,15301650
SP.POP.TOTL,MLT,401268,403834,405308,406724,409379,412477,414508,416268,419455,423282
SP.POP.TOTL,MHL,52074,52058,52084,52150,52245,52341,52428,52495,52555,52634
SP.POP.TOTL,MRT,3055425,3146164,3237713,3330037,3422901,3516077,3609420,3702763,3796141,3889880
SP.POP.TOTL,MUS,1233386,1243253,1252698,1260403,1268565,1275032,1280924,1286051,1291167,1296303
SP.POP.TOTL,MEX,109381550,110731826,112116694,113529819,114968039,116422752,117886404,119361233,120847477,122332399
SP.POP.TOTL,FSM,106575,106198,105686,105097,104498,103983,103619,103424,103395,103549
SP.POP.TOTL,MDA,3603945,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3559000
SP.POP.TOTL,MCO,33346,33808,34369,35013,35686,36314,36845,37261,37579,37831
